ID,TrainNum,Velocity,Heading,TrainState,RouteName,CMSID,OrigCode,DestCode,LastValTS,lat,lng
403281,170,50.5192413330078,NE,Active,Northeast Regional,1241245668597,WAS,BOS,4/24/2015 6:59:25 AM,40.00235,-75.09205
390225,178,50.4041633605957,NE,Active,Northeast Regional,1241245668597,WAS,BOS,3/11/2015 6:18:10 PM,40.00198,-75.09267
404564,148,50.4041633605957,E,Active,Northeast Regional,1241245668597,WAS,SPG,4/29/2015 5:11:09 PM,40.001270000000005,-75.09520000000002
396144,172,50.2890853881836,NE,Active,Northeast Regional,1241245668597,WAS,BOS,3/31/2015 9:32:02 AM,40.00278,-75.0915
389279,182,50.2000007629395,N,Active,Northeast Regional,1241245668597,WAS,NYP,3/8/2015 9:38:43 PM,40.00201,-75.09277
394999,180,50.1740036010742,NE,Active,Northeast Regional,1241245668597,WAS,NYP,3/27/2015 7:44:28 AM,40.0025,-75.09186
395120,194,50.1740036010742,NE,Active,Northeast Regional,1241245668597,NPN,BOS,3/28/2015 3:14:31 PM,40.00203,-75.09253
399789,94,50.1740036010742,E,Active,Northeast Regional,1241245668597,NPN,BOS,4/13/2015 4:11:57 PM,40.00126,-75.09561
398970,148,50.0589294433594,E,Active,Northeast Regional,1241245668597,WAS,SPG,4/10/2015 5:11:25 PM,40.00135,-75.09447
401225,172,50.0589294433594,E,Active,Northeast Regional,1241245668597,WAS,BOS,4/17/2015 9:31:44 AM,40.0013,-75.09581000000001
390829,184,50,N,Active,Northeast Regional,1241245668597,WAS,NYP,3/13/2015 11:33:12 AM,40.00138,-75.09479
389904,130,49.9438514709473,NE,Active,Northeast Regional,1241245668597,WAS,NYP,3/10/2015 9:02:37 AM,40.00297,-75.09134
399674,166,49.9438514709473,NE,Active,Northeast Regional,1241245668597,WAS,BOS,4/12/2015 7:32:36 PM,40.00211,-75.09242
401033,176,49.9438514709473,E,Active,Northeast Regional,1241245668597,LYH,BOS,4/17/2015 2:08:03 PM,40.00145,-75.09392
404738,180,49.9438514709473,NE,Active,Northeast Regional,1241245668597,WAS,NYP,4/29/2015 7:39:07 AM,40.0023,-75.09207
